season,week,season_rule,n_elim,weekly_acc
24,10,pct,2,1.0
25,2,pct,2,1.0
25,4,pct,1,1.0
25,5,pct,1,1.0
25,6,pct,1,1.0
25,7,pct,2,1.0
25,8,pct,1,1.0
25,9,pct,1,1.0
25,10,pct,3,1.0
26,1,pct,2,1.0
26,2,pct,2,1.0
26,3,pct,3,1.0
26,4,pct,2,1.0
27,1,pct,1,1.0
27,2,pct,1,1.0
27,3,pct,1,1.0
27,4,pct,1,1.0
27,6,pct,1,1.0
27,7,pct,2,1.0
27,8,pct,2,1.0
27,9,pct,3,1.0
28,2,bottom2_save,1,0.0
28,4,bottom2_save,1,1.0
28,6,bottom2_save,1,0.0
28,7,bottom2_save,1,0.0
28,8,bottom2_save,1,0.0
28,9,bottom2_save,1,1.0
28,10,bottom2_save,1,0.0
28,11,bottom2_save,3,1.0
29,2,bottom2_save,1,0.0
29,3,bottom2_save,1,1.0
29,4,bottom2_save,1,0.0
29,5,bottom2_save,1,0.0
29,6,bottom2_save,1,0.0
29,7,bottom2_save,1,0.0
29,8,bottom2_save,1,1.0
29,9,bottom2_save,1,1.0
29,10,bottom2_save,2,0.5
29,11,bottom2_save,3,1.0
30,2,bottom2_save,1,1.0
30,3,bottom2_save,1,1.0
30,4,bottom2_save,2,1.0
30,5,bottom2_save,1,1.0
30,6,bottom2_save,1,1.0
30,7,bottom2_save,1,0.0
30,8,bottom2_save,2,0.5
30,9,bottom2_save,2,0.5
30,10,bottom2_save,3,1.0
31,1,bottom2_save,1,1.0
31,2,bottom2_save,1,0.0
31,3,bottom2_save,1,1.0
31,4,bottom2_save,1,1.0
31,5,bottom2_save,1,0.0
31,6,bottom2_save,1,0.0
31,7,bottom2_save,1,0.0
31,8,bottom2_save,2,0.5
31,9,bottom2_save,2,0.5
31,10,bottom2_save,3,1.0
32,1,bottom2_save,1,1.0
32,2,bottom2_save,1,0.0
32,3,bottom2_save,1,0.0
32,4,bottom2_save,1,1.0
32,5,bottom2_save,1,1.0
32,6,bottom2_save,1,0.0
32,7,bottom2_save,1,0.0
32,8,bottom2_save,1,0.0
32,9,bottom2_save,1,0.0
32,11,bottom2_save,4,1.0
33,2,bottom2_save,2,0.0
33,3,bottom2_save,2,1.0
33,4,bottom2_save,1,1.0
33,5,bottom2_save,1,0.0
33,6,bottom2_save,1,0.0
33,7,bottom2_save,1,0.0
33,9,bottom2_save,4,1.0
34,2,bottom2_save,2,0.5
34,3,bottom2_save,1,0.0
34,4,bottom2_save,1,0.0
34,6,bottom2_save,1,0.0
34,7,bottom2_save,1,0.0
34,8,bottom2_save,1,0.0
34,9,bottom2_save,1,1.0
34,10,bottom2_save,1,0.0
34,11,bottom2_save,4,1.0
