season,week,n_couples,rp_kendall,rp_spearman,rp_top3_jaccard,rp_top5_jaccard,rp_top10_jaccard,r_js_kendall,r_js_spearman,rjs_top3_jaccard,rjs_top5_jaccard,rjs_top10_jaccard,p_js_kendall,p_js_spearman,pjs_top3_jaccard,pjs_top5_jaccard,pjs_top10_jaccard,spearman_fan_total_rank,spearman_fan_total_percent,rank_sens_mean,rank_sens_p25,rank_sens_p75,percent_sens_mean,percent_sens_p25,percent_sens_p75
1,1,6,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.023288888888888994,1.1102230246251565e-16,1.1102230246251565e-16,0.16462222222222225,0.13333333333333341,0.2666666666666667
1,2,6,0.7333333333333333,0.8857142857142858,1.0,1.0,1.0,0.7333333333333333,0.8857142857142858,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.3714285714285715,0.6,0.08142222222222233,1.1102230246251565e-16,0.13333333333333341,0.2456,0.13333333333333341,0.4
1,3,5,0.6,0.7,1.0,1.0,1.0,0.6,0.7,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,-0.09999999999999999,0.6,0.0516000000000001,1.1102230246251565e-16,0.20000000000000007,0.25360000000000005,1.1102230246251565e-16,0.4
1,4,4,0.3333333333333334,0.39999999999999997,0.5,1.0,1.0,0.3333333333333334,0.39999999999999997,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.7999999999999999,0.0,0.021111111111111098,0.0,0.0,0.6068888888888888,0.33333333333333315,1.0
1,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.5542222222222223,0.0,0.6666666666666666
2,1,10,0.4666666666666666,0.5878787878787878,0.5,0.25,1.0,0.4666666666666666,0.5878787878787878,0.5,0.25,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.23636363636363633,0.709090909090909,0.13460740740740754,0.08888888888888902,0.17777777777777792,0.36506666666666676,0.2666666666666667,0.44444444444444453
2,2,9,0.6666666666666666,0.8333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999998,0.5166666666666667,0.12199999999999998,0.05555555555555547,0.16666666666666663,0.3105925925925926,0.2222222222222222,0.38888888888888895
2,3,8,0.42857142857142855,0.5952380952380953,0.2,0.6666666666666666,1.0,0.42857142857142855,0.5952380952380953,0.2,0.6666666666666666,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.023809523809523815,0.7619047619047621,0.11880952380952393,0.07142857142857151,0.1428571428571429,0.32552380952380955,0.2142857142857144,0.4285714285714286
2,4,7,0.7142857142857143,0.8571428571428573,1.0,0.6666666666666666,1.0,0.7142857142857143,0.8571428571428573,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285715,0.7857142857142859,0.11473015873015865,0.0,0.19047619047619035,0.23028571428571423,0.09523809523809512,0.2857142857142857
2,5,6,0.3333333333333333,0.4285714285714286,0.5,1.0,1.0,0.3333333333333333,0.4285714285714286,0.5,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.2,0.942857142857143,0.1262222222222223,1.1102230246251565e-16,0.13333333333333341,0.37831111111111115,0.2666666666666667,0.5333333333333334
2,6,5,0.39999999999999997,0.6,0.5,1.0,1.0,0.39999999999999997,0.6,0.5,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.0,0.7999999999999999,0.17680000000000007,1.1102230246251565e-16,0.20000000000000007,0.28080000000000005,0.20000000000000007,0.4
