feature,importance_mean,importance_std
active_count,0.3360632316262578,0.009903351539125645
prev_judge_pct,0.251275271095146,0.007724523938495707
week,0.09869080453529103,0.002739215879334404
celebrity_age_during_season,0.018767446700579515,0.0010528706713043151
season,0.018601854619966995,0.0009077081661384084
ballroom_partner,0.013848427928930762,0.00045580446553828617
celebrity_industry,0.009963507376828839,0.0006913723452651796
celebrity_homecountry/region,0.001591447022811232,0.00028664866446966286
